0.9832,0.00354401
0.976,0.0016
0.9268,0.00396989
0.8576,0.0045607
0.7744,0.00757364
0.6756,0.00471593
0.56,0.00972831
0.428,0.01137717
0.2832,0.00802496
0.1328,0.00915642
-0.0188,0.02532667
-0.1644,0.0176454
-0.2988,0.00427083
-0.4204,0.0153675
-0.5288,0.0074135
-0.6136,0.00622896
-0.684,0.00801499
-0.7352,0.00554977
-0.7608,0.01144378
-0.7712,0.00633719
-0.7496,0.01254432
-0.7108,0.00601997
-0.66,0.00949526
-0.6004,0.01610714
-0.5324,0.02523014
-0.452,0.01606736
-0.362,0.01707161
-0.2648,0.01772456
-0.158,0.01633891
-0.052,0.01954073
0.0404,0.00596657
0.1296,0.02113764
0.2108,0.01301384
0.2872,0.01356466
0.3576,0.02778921
0.4204,0.02033322
0.4708,0.0208461
0.5048,0.01063203
0.524,0.01243222
0.5428,0.0056356
