0,0.248,0.011575836902790236
12,0.236,0.011445523142259606
24,0.217,0.010908712114635705
36,0.21999999999999997,0.006708203932499375
48,0.20400000000000001,0.023043437243605816
60,0.19399999999999998,0.005567764362830008
72,0.2,0.010954451150103312
84,0.18,0.009082951062292462
96,0.176,0.010173494974687891
108,0.17700000000000002,0.013656500283747656
120,0.164,0.014611639196202451
132,0.142,0.019467922333931784
144,0.16899999999999998,0.023259406699226014
156,0.16100000000000003,0.00533853912601566
