case,gamma_fit,gamma_err,predicted_output,expected_output,raw_margin
C1,0.006897079854966258,0.00030474863439342216,1,1,0.0004415356370700114
C2,-0.0038722000918892377,0.00046273399564417914,0,0,-0.0004886785736277889
C3,0.0044643326816388535,0.00022490562860800025,0,0,-0.00024507503112260816
C4,-0.006215030910887258,0.00033375093223697024,1,1,0.0003266595823750492
