Cutoff,Signed area,Relative area change (%),Corr. with nominal Vq,Corr. with nominal Iq
0.25$f_{\max}$,0.0006898785951238571,-6.593589891213947,0.9956223861403536,0.9997533357099865
0.30$f_{\max}$,0.0007164573988991814,-2.9949412837829925,0.9980142868152916,0.999909464388642
0.35$f_{\max}$,0.0007385773570790141,0.0,1.0,1.0
0.40$f_{\max}$,0.0007732328868967362,4.692200415509706,0.9768865465013582,0.9999126567221444
0.45$f_{\max}$,0.0007349939427820773,-0.4851779251815569,0.9219193094787461,0.9999012738054921
