0,0.25,0.005651941652604396
6.5,0.2361111111111111,0.0076275167876366625
13,0.23222222222222222,0.012641178058869731
19.5,0.2288888888888889,0.016473416670203044
26,0.2144444444444444,0.012146228393930801
32.5,0.2161111111111111,0.009308664488953356
39,0.21722222222222223,0.012613680599714142
45.5,0.21833333333333332,0.011456439237389605
52,0.20833333333333334,0.019075871903765997
58.5,0.20111111111111113,0.016889711237289176
65,0.20944444444444443,0.013754909336822163
71.5,0.1955555555555556,0.014054567378526126
78,0.2011111111111111,0.01056651477867235
84.5,0.19833333333333336,0.011456439237389593
91,0.19111111111111112,0.012493825635582786
97.5,0.1933333333333333,0.013017082793177752
104,0.1938888888888889,0.010333930687632368
110.5,0.18222222222222223,0.00777777777777777
117,0.19111111111111112,0.023060575089463627
123.5,0.18555555555555553,0.014635488747021653
130,0.17777777777777778,0.019880041483425436
136.5,0.17333333333333334,0.013070322617798431
143,0.18666666666666668,0.00726483157256778
149.5,0.18333333333333332,0.018257418583505537
156,0.1727777777777778,0.016522524842181165
