1.360000000000001139e-02,8.840814442120144973e-03
1.628000000000000558e-01,1.416474496770061056e-02
3.203999999999999626e-01,1.831283702761534946e-02
4.543999999999999706e-01,1.238386046433018542e-02
5.980000000000000870e-01,8.555699854482980843e-03
6.939999999999999503e-01,1.089954127475097762e-02
7.903999999999999915e-01,1.370255450636852397e-02
8.763999999999999568e-01,2.638181191654578785e-03
9.091999999999998971e-01,3.440930106817053497e-03
9.479999999999998428e-01,2.280350850198278097e-03
9.372000000000000330e-01,2.576819745345027175e-03
9.187999999999998391e-01,5.748043145279969901e-03
8.460000000000000853e-01,6.782329983125261023e-03
7.920000000000000373e-01,8.024961059095567575e-03
7.084000000000001407e-01,1.428845687959339611e-02
5.767999999999999794e-01,6.374950980203696743e-03
4.711999999999999522e-01,1.621850794617063149e-02
3.583999999999999408e-01,1.114271062174728572e-02
2.296000000000000263e-01,8.328265125462818580e-03
9.359999999999998876e-02,2.261327044016411131e-02
-3.88E-02,2.238392280186830841e-02
-1.44E-01,2.244459845931755237e-02
-2.53E-01,1.843474979488465837e-02
-3.40E-01,5.230678732248796210e-03
-4.09E-01,1.710672382427445848e-02
-5.05E-01,1.467787450552701829e-02
-5.60E-01,9.703607576566563100e-03
-5.78E-01,1.686890630716763456e-02
-5.91E-01,2.006589145789439491e-02
-6.15E-01,4.223742416388578946e-03
-6.12E-01,8.602325267042633741e-03
-5.64E-01,6.734983296193089095e-03
-5.20E-01,1.527088733505685414e-02
-5.06E-01,1.094349121624357130e-02
-4.12E-01,1.705285899783375372e-02
-3.50E-01,1.666613332479971801e-02
-3.09E-01,1.521315220458930619e-02
-1.94E-01,1.155854662143992150e-02
-1.22E-01,1.938452991434148204e-02
-3.64E-02,1.621604144049960256e-02
